"","date","StationNo","HomeTeam","AwayTeam","Season","Round","Description","Rainfall","RainfallBand"
"517","25/08/2007",23034,"Adelaide","Brisbane Lions",2007,"21","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2141","26/08/2007",86038,"Western Bulldogs","Hawthorn",2007,"21","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2800","26/08/2007",87184,"Geelong","Port Adelaide",2007,"21","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"2142","26/08/2007",86038,"Essendon","Richmond",2007,"21","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2439","31/08/2007",86038,"Collingwood","Adelaide",2007,"22","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1311","1/09/2007",86038,"Richmond","St Kilda",2007,"22","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"11","1/09/2007",9225,"West Coast","Essendon",2007,"22","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"821","1/09/2007",40913,"Brisbane Lions","Geelong",2007,"22","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"380","1/09/2007",23034,"Port Adelaide","Fremantle",2007,"22","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1041","2/09/2007",66062,"Sydney","Hawthorn",2007,"22","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"1811","2/09/2007",86038,"Western Bulldogs","North Melbourne",2007,"22","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1812","2/09/2007",86038,"Melbourne","Carlton",2007,"22","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"612","7/09/2007",23034,"Port Adelaide","West Coast",2007,"QF","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2677","8/09/2007",86038,"Hawthorn","Adelaide",2007,"ef","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2678","8/09/2007",86038,"Collingwood","Sydney",2007,"EF","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2731","9/09/2007",86038,"Geelong","North Melbourne",2007,"qf","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"70","14/09/2007",9225,"Collingwood","West Coast",2007,"SF","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1590","15/09/2007",86038,"North Melbourne","Hawthorn",2007,"SF","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1904","21/09/2007",86038,"Geelong","Collingwood",2007,"PF","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"499","22/09/2007",23034,"Port Adelaide","North Melbourne",2007,"PF","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2296","29/09/2007",86038,"Geelong","Port Adelaide",2007,"GF","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
