,Playing.for,First.name,Surname,ID,Name
4216,Fitzroy,Fred,Lethbridge,5157,Fred Lethbridge
4217,Fitzroy,Gilbert,Barker,5153,Gilbert Barker
4218,Fitzroy,Jack,McDonough,4943,Jack McDonough
4219,Fitzroy,Les,Sharp,5158,Les Sharp
4220,Fitzroy,Syd,Billings,5264,Syd Billings
4221,Fitzroy,Jack,Holt,5268,Jack Holt
4222,Fitzroy,Sonny,Douglas,5266,Sonny Douglas
4223,Fitzroy,George,Elliott,5267,George Elliott
4224,Fitzroy,Barclay,Bailes,5263,Barclay Bailes
4225,Fitzroy,Sam,Davison,5265,Sam Davison
4226,Fitzroy,Ridley,Plaisted,5269,Ridley Plaisted
